,precision,recall,f1-score,support
Apple,0.9701986754966887,0.9865319865319865,0.9782971619365609,297.0
Banana,0.9829787234042553,0.9665271966527197,0.9746835443037974,239.0
Burger,0.9684638860630722,0.9635627530364372,0.9660071029934043,988.0
Donut,0.9944071588366891,0.9955207166853304,0.9949636261891438,893.0
Ice Cream,0.9932998324958124,0.9983164983164983,0.9958018471872376,594.0
Pasta,1.0,0.9924528301886792,0.9962121212121212,795.0
Pizza,0.9715004191114837,0.9797125950972105,0.9755892255892256,1183.0
Salad,1.0,0.9949748743718593,0.9974811083123426,199.0
Steak,1.0,0.9974874371859297,0.9987421383647799,398.0
Sushi,0.9985507246376811,0.9956647398843931,0.9971056439942113,692.0
accuracy,0.9859827970691303,0.9859827970691303,0.9859827970691303,0.9859827970691303
macro avg,0.9879399420045683,0.9870751627951044,0.9874883520082826,6278.0
weighted avg,0.9860195972520364,0.9859827970691303,0.9859881116375274,6278.0
