,precision,recall,f1-score,support
Apple,0.9931972789115646,0.9831649831649831,0.988155668358714,297.0
Banana,0.9874476987447699,0.9874476987447699,0.9874476987447699,239.0
Burger,0.9846625766871165,0.9746963562753036,0.9796541200406917,988.0
Donut,0.9977553310886644,0.9955207166853304,0.9966367713004485,893.0
Ice Cream,0.9949664429530202,0.9983164983164983,0.9966386554621849,594.0
Pasta,0.9974715549936789,0.9924528301886792,0.9949558638083228,795.0
Pizza,0.9783152627189324,0.9915469146238377,0.9848866498740554,1183.0
Salad,0.9949748743718593,0.9949748743718593,0.9949748743718593,199.0
Steak,0.9949874686716792,0.9974874371859297,0.9962358845671268,398.0
Sushi,0.9956647398843931,0.9956647398843931,0.9956647398843931,692.0
accuracy,0.9906021025804397,0.9906021025804397,0.9906021025804397,0.9906021025804397
macro avg,0.991944322902568,0.9911273049441585,0.9915250926412567,6278.0
weighted avg,0.9906297626517486,0.9906021025804397,0.990601019879726,6278.0
