,precision,recall,f1-score,support
Apple,0.9831081081081081,0.9797979797979798,0.9814502529510961,297.0
Banana,0.970954356846473,0.9790794979079498,0.975,239.0
Burger,0.9827760891590679,0.9817813765182186,0.9822784810126582,988.0
Donut,1.0,0.9955207166853304,0.9977553310886644,893.0
Ice Cream,0.9983193277310924,1.0,0.9991589571068125,594.0
Pasta,0.986284289276808,0.9949685534591195,0.9906073888541015,795.0
Pizza,0.9881456392887383,0.9864750633981403,0.9873096446700508,1183.0
Salad,1.0,0.9949748743718593,0.9974811083123426,199.0
Steak,1.0,0.9974874371859297,0.9987421383647799,398.0
Sushi,0.9985549132947977,0.9985549132947977,0.9985549132947977,692.0
accuracy,0.9910799617712648,0.9910799617712648,0.9910799617712648,0.9910799617712648
macro avg,0.9908142723705085,0.9908640412619325,0.9908338215655303,6278.0
weighted avg,0.9910955650540749,0.9910799617712648,0.991083321273913,6278.0
