,precision,recall,f1-score,support
Apple,0.9898648648648649,0.9865319865319865,0.9881956155143339,297.0
Banana,0.9833333333333333,0.9874476987447699,0.9853862212943633,239.0
Burger,0.9838383838383838,0.9858299595141701,0.9848331648129424,988.0
Donut,0.9955207166853304,0.9955207166853304,0.9955207166853304,893.0
Ice Cream,0.9949664429530202,0.9983164983164983,0.9966386554621849,594.0
Pasta,0.9974715549936789,0.9924528301886792,0.9949558638083228,795.0
Pizza,0.9881856540084388,0.9898562975486053,0.9890202702702703,1183.0
Salad,0.9949748743718593,0.9949748743718593,0.9949748743718593,199.0
Steak,0.9974874371859297,0.9974874371859297,0.9974874371859297,398.0
Sushi,0.9985507246376811,0.9956647398843931,0.9971056439942113,692.0
accuracy,0.9921949665498566,0.9921949665498566,0.9921949665498566,0.9921949665498566
macro avg,0.992419398687252,0.9924083038972222,0.9924118463399749,6278.0
weighted avg,0.9922044501814562,0.9921949665498566,0.9921978225514775,6278.0
