,precision,recall,f1-score,support
Apple,0.9866666666666667,0.9966329966329966,0.9916247906197655,297.0
Banana,1.0,0.9874476987447699,0.9936842105263158,239.0
Burger,0.9959183673469387,0.9878542510121457,0.991869918699187,988.0
Donut,1.0,0.9955207166853304,0.9977553310886644,893.0
Ice Cream,0.9966442953020134,1.0,0.9983193277310924,594.0
Pasta,0.986284289276808,0.9949685534591195,0.9906073888541015,795.0
Pizza,0.9890572390572391,0.9932375316990701,0.9911429776465627,1183.0
Salad,1.0,0.9949748743718593,0.9974811083123426,199.0
Steak,1.0,0.9974874371859297,0.9987421383647799,398.0
Sushi,0.9985549132947977,0.9985549132947977,0.9985549132947977,692.0
accuracy,0.9944249761070405,0.9944249761070405,0.9944249761070405,0.9944249761070405
macro avg,0.9953125770944465,0.9946678973086021,0.994978210513761,6278.0
weighted avg,0.9944512236584816,0.9944249761070405,0.9944283033541471,6278.0
