,precision,recall,f1-score,support
Apple,0.9866220735785953,0.9932659932659933,0.9899328859060402,297.0
Banana,0.9915254237288136,0.9790794979079498,0.9852631578947368,239.0
Burger,0.9888438133874239,0.9868421052631579,0.9878419452887538,988.0
Donut,0.9955207166853304,0.9955207166853304,0.9955207166853304,893.0
Ice Cream,0.9932998324958124,0.9983164983164983,0.9958018471872376,594.0
Pasta,0.9937027707808564,0.9924528301886792,0.9930774071743235,795.0
Pizza,0.9890387858347386,0.9915469146238377,0.9902912621359223,1183.0
Salad,0.995,1.0,0.9974937343358395,199.0
Steak,1.0,0.9974874371859297,0.9987421383647799,398.0
Sushi,0.9985507246376811,0.9956647398843931,0.9971056439942113,692.0
accuracy,0.9928321121376235,0.9928321121376235,0.9928321121376235,0.9928321121376235
macro avg,0.9932104141129251,0.9930176733321769,0.9931070738967176,6278.0
weighted avg,0.9928365415922059,0.9928321121376235,0.9928306678371832,6278.0
